energy_min,energy_max,dama_amplitude,dama_amplitude_error,cosine_nrc_single_amplitude,cosine_nrc_single_amplitude_upper_error,cosine_nrc_single_amplitude_lower_error,cosine_nrc_multiple_amplitude,cosine_nrc_multiple_amplitude_upper_error,cosine_nrc_multiple_amplitude_lower_error,cosine_erc_single_amplitude,cosine_erc_single_amplitude_upper_error,cosine_erc_single_amplitude_lower_error,cosine_erc_multiple_amplitude,cosine_erc_multiple_amplitude_upper_error,cosine_erc_multiple_amplitude_lower_error
13.0,13.5,-0.001599444,0.001668985,0.000843419458007879,0.00701541705612009,0.00701059156017484,0.001532770556526077,0.002782733849235562,0.0027725871613021014,-0.011854578317332689,0.00731815744736198,0.007275205307371746,0.002284516834324374,0.0032699965387395693,0.003227441909343817
13.5,14.0,0.001529903,0.001529903,-0.010186565793177749,0.006862555281056209,0.007008647639681389,0.0027788884501216632,0.0027696197877518976,0.0027524213500828183,0.006133949376398868,0.006925979718719813,0.007042042425883097,-0.002096112399692651,0.003206770811174217,0.0032686096578655663
14.0,14.5,-0.001877608,0.001390821,-0.0036917194112441425,0.007013204736887025,0.006990701870976642,0.00031845483710436073,0.0027034340411359772,0.0027126161798696705,0.0017781288052785811,0.006834744652675012,0.006738824376356084,-0.00041255182503439035,0.003264463414623274,0.0032513141316591774
14.5,15.0,-0.001529903,0.001216968,-0.007178710180681993,0.007082381392612794,0.007142641885201308,0.0032371007058741926,0.0027966928817215815,0.002778426382296243,-0.005126885094364493,0.006600618015061466,0.006662475137265806,-0.00035460116257738066,0.003228984134895481,0.003246957064276402
15.0,15.5,0.001251739,0.001182197,-0.010865235154833884,0.007157281701866367,0.007116347377505277,0.002815561530083538,0.0027598985868076678,0.0027763210787003097,0.0024213837321578583,0.006395776171083275,0.006360714723122348,0.00033654726043108113,0.0032896662962273375,0.0033099651570262663
15.5,16.0,0.002433936,0.001425591,-0.0009045446288673482,0.0073020763733459785,0.007072936820499921,-0.0010315543726760374,0.0028335249119848596,0.002822281583065512,-0.0007552204592710069,0.0062399378076420505,0.006217184862976204,0.0011563464253529997,0.0033388354297899012,0.003244727258057869
16.0,16.5,0.000417246,0.001112656,0.008628841658977343,0.007011811682851626,0.0070987209189028394,-0.0003718495509784827,0.0028600130579732198,0.0027734492386202025,0.0018222493782080898,0.006073505845698365,0.0058227067982456766,-0.0016682027985592128,0.0033557962120311932,0.0032459331989375183
16.5,17.0,0.004589708,0.001182197,0.00426166732551628,0.007160255925262379,0.007131489073831907,0.0003961781838317349,0.0028007968626729087,0.0027832268602178633,0.00019644778025551654,0.00605104928456847,0.00592429823370945,0.0003569862220820986,0.0033496730759794745,0.0033232605841946265
17.0,17.5,0.000417246,0.001182197,0.0018740210753791522,0.007032445517382489,0.0069825535457978295,0.00050686988810874,0.002874372455192363,0.002838503117165197,0.009518997837357242,0.0057086000471621035,0.005788102579229595,-0.004688882855410056,0.003306751749776477,0.0032556629630853652
17.5,18.0,0.001738526,0.001251739,0.007984188351431094,0.006881436011630729,0.006907257672562875,-0.0007201270005819202,0.002837607677306177,0.0028417287212559803,0.012131583085050194,0.0056759060616000424,0.005573263703447545,-0.004186120557739324,0.0033127231921951964,0.0032716767130605154
18.0,18.5,0.003198887,0.001390821,-0.0004566441986541021,0.006997971683792755,0.006866803093388822,-0.004079566953147826,0.0028770351875513425,0.0028646780930061833,-0.0015247684586329041,0.005703016823969645,0.005601168805827278,-0.004787031176263894,0.0033450361208715628,0.003319403520143995
18.5,19.0,-0.000625869,0.00132128,0.0016036273652677107,0.006860781910220951,0.006770420727994984,0.0013345409320408227,0.002867195099636146,0.0029274660466140127,-0.005824817196062827,0.005436155369226048,0.0054269077124634215,-0.0001326109524711284,0.0032985246366386456,0.0033325500669348024
19.0,19.5,0.002503477,0.001216968,0.0007215824570331109,0.006766331325641568,0.006684225155267718,0.0021973450481160184,0.002943042968152547,0.0029209076276034158,0.005411810815694088,0.005347764234079325,0.005385465370100304,0.00043933514899657686,0.00333378256747416,0.0033082754646750674
19.5,20.0,0.002086231,0.001147427,-0.010302231891924965,0.006618026431628553,0.0066767406939242015,0.002050996543008276,0.0028950297915076267,0.0029308411561515895,0.00823293479027122,0.005245802424144314,0.005259847755307904,0.0025476064894876943,0.003408034835624428,0.0033645982126561023
